No.                  Date/Time           Status           Location ID 
000001               23/12/2020 10:19    C/Out            107         
000001               23/12/2020 14:51    C/Out            107         
000009               22/12/2020 03:37    C/Out            107         
000009               22/12/2020 11:37    C/Out            107         
000009               22/12/2020 13:28    C/Out            107         
000009               22/12/2020 16:42    C/Out            107         
000009               23/12/2020 03:48    C/Out            107         
000009               23/12/2020 10:51    C/Out            107         
000009               23/12/2020 14:11    C/Out            107         
000009               23/12/2020 16:48    C/Out            107         
000343               22/12/2020 08:35    C/In             112         
000343               22/12/2020 09:45    C/In             111         
000343               22/12/2020 12:14    C/In             112         
000343               23/12/2020 08:45    C/In             112         
000638               23/12/2020 08:07    C/In             112         
000638               23/12/2020 16:07    C/Out            111         
000638               23/12/2020 17:32    C/In             112         
000638               23/12/2020 17:40    C/In             112         
000934               22/12/2020 07:41    C/In             112         
000934               22/12/2020 22:16    C/Out            112         
000934               23/12/2020 07:11    C/Out            112         
000934               23/12/2020 19:43    C/In             112         
001693               22/12/2020 07:22    C/In             112         
001693               22/12/2020 10:26    C/In             111         
001693               22/12/2020 10:33    C/In             111         
001693               22/12/2020 18:02    C/In             111         
001693               23/12/2020 07:38    C/In             112         
001693               23/12/2020 08:09    C/Out            111         
001693               23/12/2020 16:02    C/In             112         
001693               23/12/2020 18:16    C/In             112         
001714               22/12/2020 08:15    C/Out            107         
001714               22/12/2020 08:31    C/Out            107         
001714               22/12/2020 10:47    C/Out            107         
001714               22/12/2020 13:13    C/Out            107         
001714               22/12/2020 17:11    C/Out            107         
001714               22/12/2020 18:00    C/Out            107         
001714               22/12/2020 18:01    C/Out            107         
001714               23/12/2020 07:14    C/Out            107         
001714               23/12/2020 08:38    C/Out            107         
001714               23/12/2020 10:13    C/Out            107         
001714               23/12/2020 13:17    C/Out            107         
001714               23/12/2020 17:33    C/Out            107         
001714               23/12/2020 18:01    C/Out            107         
001898               22/12/2020 07:12    C/In             112         
001898               22/12/2020 18:05    C/Out            112         
001898               23/12/2020 07:13    C/Out            112         
001898               23/12/2020 18:07    C/In             112         
001977               22/12/2020 07:27    C/In             112         
001977               22/12/2020 17:30    C/Out            112         
001977               23/12/2020 07:37    C/In             112         
001977               23/12/2020 17:32    C/In             112         
